Name,Nationality,Overall Rank,Apparatus,Diff,Exec,Total Score,Rank
Xiao Ruoteng,CHN,1,Floor,5.9,8.533,14.43,5
,,,Pommel Horse,6.1,8.7,14.80,2
,,,Rings,5.7,8.1,13.80,10
,,,Vault,5.6,9.3,14.90,3
,,,PBars,6,8.6,14.60,8
,,,High Bar,6,8.4,14.40,3
Lin Chaopan,CHN,2,Floor,6.2,8.316,14.52,3
,,,Pommel Horse,5.8,8.466,14.27,3
,,,Rings,5.6,8.066,13.67,12
,,,Vault,5.6,9.3,14.90,3
,,,PBars,6.4,8.4,14.80,5
,,,High Bar,6.2,8.1,14.30,5
Kenzo Shirai,JPN,3,Floor,7.2,8.533,15.73,1
,,,Pommel Horse,5.3,8.133,13.43,12
,,,Rings,5.7,7.966,13.67,12
,,,Vault,5.6,9.4,15.00,1
,,,PBars,6,8.633,14.63,7
,,,High Bar,5.9,8.066,13.97,6
David Belyavskiy,RUS,4,Floor,5.9,8.166,14.07,11
,,,Pommel Horse,6.3,8.6,14.90,1
,,,Rings,5.5,8.6,14.10,7
,,,Vault,5.6,9.183,14.78,8
,,,PBars,6.4,8.866,15.27,1
,,,High Bar,5.6,7.6,13.20,15
Manrique Larduet,CUB,5,Floor,6,7.933,13.93,12
,,,Pommel Horse,5.7,8.033,13.73,7
,,,Rings,6.1,8.033,14.13,6
,,,Vault,5.6,9.366,14.97,2
,,,PBars,6.4,8.533,14.93,3
,,,High Bar,6.1,8.233,14.33,4
Nile Wilson,GBR,6,Floor,5.6,8.733,14.33,6
,,,Pommel Horse,5.8,7.866,13.67,8
,,,Rings,5.7,8.6,14.30,3
,,,Vault,5.2,8.9,14.10,15
,,,PBars,6.3,8.2,14.50,12
,,,High Bar,6.2,8.233,14.43,2
Yul Moldauer,USA,7,Floor,5.8,8.766,14.57,2
,,,Pommel Horse,5.4,8.6,14.00,4
,,,Rings,5.7,8.366,14.07,8
,,,Vault,5.2,9.3,14.50,10
,,,PBars,6,8.533,14.53,11
,,,High Bar,5.3,8.033,13.33,12
Oleg Verniaiev,UKR,8,Floor,6.2,7.566,13.77,15
,,,Pommel Horse,6.4,6.933,13.33,14
,,,Rings,6.1,8.466,14.57,1
,,,Vault,5.6,9.233,14.83,6
,,,PBars,6.7,8.266,14.97,2
,,,High Bar,5.7,6.833,12.53,21
Ahmet Onder,TUR,9,Floor,6,8.133,14.13,9
,,,Pommel Horse,4.9,8.033,12.93,16
,,,Rings,5.2,8.633,13.83,9
,,,Vault,5.2,9.333,14.53,9
,,,PBars,6.2,8.733,14.93,3
,,,High Bar,5.3,8.166,13.47,9
Nikita Nagornyy,RUS,10,Floor,6.5,8,14.50,4
,,,Pommel Horse,5.6,8.266,13.87,5
,,,Rings,6,8.466,14.47,2
,,,Vault,5.6,9.2,14.80,7
,,,PBars,5.9,8.641,14.54,10
,,,High Bar,4.9,6.166,11.07,24
Jo Calvo Moreno,COL,11,Floor,5.8,8.066,13.87,14
,,,Pommel Horse,6.3,7.5,13.80,6
,,,Rings,5.5,7.833,13.33,18
,,,Vault,5.2,8.666,13.87,19
,,,PBars,6.5,8.1,14.60,8
,,,High Bar,6.1,7.466,13.57,8
Pablo Braegger,SUI,12,Floor,5.7,8.533,14.23,8
,,,Pommel Horse,5.4,7.866,13.27,15
,,,Rings,4.6,9,13.60,14
,,,Vault,5.2,9.233,14.43,12
,,,PBars,6.2,6.5,12.70,23
,,,High Bar,6.8,7.7,14.50,1
Artur Davtyan,ARM,13,Floor,4.7,8.633,13.33,18
,,,Pommel Horse,5.5,7.9,13.40,13
,,,Rings,5.7,8.5,14.20,4
,,,Vault,5.6,9.3,14.90,3
,,,PBars,4.5,9.266,13.77,18
,,,High Bar,4.3,8.433,12.73,19
Garam Bae,KOR,14,Floor,5.5,7.5,13.00,21
,,,Pommel Horse,5.4,8.133,13.53,10
,,,Rings,4.9,7.966,12.87,22
,,,Vault,4.8,9.333,14.13,14
,,,PBars,5.6,8,13.60,20
,,,High Bar,5.8,7.6,13.40,10
Caio Souza,BRA,15,Floor,5.5,8.4,13.90,13
,,,Pommel Horse,5.5,6.066,11.57,23
,,,Rings,6,8.166,14.17,5
,,,Vault,5.2,9.3,14.50,10
,,,PBars,6.1,8.166,14.27,14
,,,High Bar,5.5,6.633,12.13,22
Marios Georgiou,CYP,16,Floor,5.1,7.4,12.50,23
,,,Pommel Horse,5.6,6.7,12.30,20
,,,Rings,4.9,8.6,13.50,15
,,,Vault,4.8,9.2,14.00,17
,,,PBars,5.6,8.5,14.10,15
,,,High Bar,5.5,8.333,13.83,7
Robert Tvorogal,LTU,17,Floor,5.1,7.8,12.90,22
,,,Pommel Horse,4.9,7.966,12.87,17
,,,Rings,4.2,8.933,13.13,19
,,,Vault,4.8,9.1,13.90,18
,,,PBars,5.5,8.6,14.10,15
,,,High Bar,5.4,7.933,13.33,12
Philipp Herder,GER,18,Floor,5.8,8.333,14.13,9
,,,Pommel Horse,5.3,7.533,12.83,19
,,,Rings,5.5,8,13.50,15
,,,Vault,5.2,7.8,13.00,24
,,,PBars,6,8.1,14.10,15
,,,High Bar,5.3,7.3,12.60,20
Eddy Yusof,SUI,19,Floor,5.5,8.066,13.57,17
,,,Pommel Horse,5.1,6.533,11.63,22
,,,Rings,5.6,8.166,13.77,11
,,,Vault,5.6,7.833,13.43,23
,,,PBars,6,8.366,14.37,13
,,,High Bar,5.4,8,13.40,10
Ferhat Arican,TUR,20,Floor,5.1,6.633,11.73,24
,,,Pommel Horse,5.7,7.825,13.53,11
,,,Rings,4.7,8.2,12.90,21
,,,Vault,5.2,9.066,14.27,13
,,,PBars,6.3,8.383,14.68,6
,,,High Bar,5.1,7.833,12.93,16
Zachary Clay,CAN,21,Floor,5.2,7.933,13.13,20
,,,Pommel Horse,5.8,7.766,13.57,9
,,,Rings,5.4,7.7,13.10,20
,,,Vault,4.8,9.3,14.10,15
,,,PBars,5.5,7.6,13.10,22
,,,High Bar,4.9,8,12.90,17
Tomas Kuzmickas,LTU,22,Floor,5.7,8.566,14.27,7
,,,Pommel Horse,4.7,8.166,12.87,17
,,,Rings,3.7,8,11.70,24
,,,Vault,4.8,9.066,13.87,19
,,,PBars,5.5,8.133,13.63,19
,,,High Bar,5.1,8.233,13.33,12
Kevin Cerda,MEX,23,Floor,5.3,8.033,13.33,18
,,,Pommel Horse,4.9,7.366,12.27,21
,,,Rings,5.3,7.1,12.40,23
,,,Vault,4.8,8.933,13.73,21
,,,PBars,4.5,7.866,12.37,24
,,,High Bar,5.5,7.333,12.83,18
Joel Plata Rodriguez,SP,24,Floor,5.7,7.966,13.67,16
,,,Pommel Horse,4.1,6.533,10.63,24
,,,Rings,5.1,8.4,13.50,15
,,,Vault,4.8,8.833,13.63,22
,,,PBars,5.4,8,13.40,21
,,,High Bar,5.5,6.366,11.87,23